loan_id,customer_id,loan_type,loan_amount,start_date,status
LOAN000102,CUST000093,housing,350484,2019-12-15,active
LOAN000103,CUST000094,housing,122151,2020-11-07,active
LOAN000104,CUST000096,housing,288551,2020-01-18,active
LOAN000105,CUST000096,personal,43911,2019-08-02,active
LOAN000106,CUST000098,housing,402654,2018-07-01,active
LOAN000107,CUST000099,housing,474570,2016-02-19,active
LOAN000108,CUST000100,housing,68231,2018-12-26,active
LOAN000109,CUST000101,housing,152638,2016-01-16,active
LOAN000110,CUST000103,housing,418243,2016-03-08,active
LOAN000111,CUST000104,housing,166674,2016-01-08,active
LOAN000112,CUST000105,housing,418439,2017-05-03,active
LOAN000113,CUST000106,housing,205473,2018-08-10,active
LOAN000114,CUST000107,housing,401425,2019-04-04,active
LOAN000115,CUST000108,personal,43717,2017-11-01,active
LOAN000116,CUST000109,housing,148849,2020-08-19,active
LOAN000117,CUST000110,housing,269076,2018-10-22,active
LOAN000118,CUST000111,housing,446149,2017-11-07,active
LOAN000119,CUST000113,housing,104939,2016-01-05,active
LOAN000120,CUST000113,personal,11135,2020-04-10,active
LOAN000121,CUST000114,housing,63431,2017-03-27,active
LOAN000122,CUST000115,housing,171618,2016-08-02,active
LOAN000123,CUST000116,housing,197220,2019-07-04,active
LOAN000124,CUST000117,housing,203879,2017-08-03,active
LOAN000125,CUST000118,housing,298655,2019-03-14,active
LOAN000126,CUST000121,housing,495274,2019-09-16,active
LOAN000127,CUST000122,housing,186229,2018-05-25,active
LOAN000128,CUST000123,housing,177769,2020-09-26,active
LOAN000129,CUST000124,housing,475130,2018-06-23,active
LOAN000130,CUST000124,personal,24464,2021-12-13,active
LOAN000131,CUST000125,personal,32508,2020-12-04,active
LOAN000132,CUST000126,housing,314031,2016-08-30,active
LOAN000133,CUST000127,housing,87732,2018-09-19,active
LOAN000134,CUST000127,personal,8366,2019-09-02,active
LOAN000135,CUST000128,housing,123921,2020-10-27,active
LOAN000136,CUST000128,personal,19741,2021-08-14,active
LOAN000137,CUST000129,housing,183240,2019-04-05,active
LOAN000138,CUST000130,housing,152512,2019-08-02,active
LOAN000139,CUST000132,housing,119142,2017-04-01,active
LOAN000140,CUST000133,housing,350234,2018-07-28,active
LOAN000141,CUST000134,housing,101001,2020-03-17,active
LOAN000142,CUST000134,personal,29343,2018-07-10,active
LOAN000143,CUST000135,housing,51304,2020-02-13,active
LOAN000144,CUST000136,housing,195392,2017-07-08,active
LOAN000145,CUST000137,housing,304181,2017-01-02,active
LOAN000146,CUST000139,housing,223347,2017-02-09,active
LOAN000147,CUST000140,housing,354201,2020-04-10,active
LOAN000148,CUST000141,housing,232273,2016-06-17,active
LOAN000149,CUST000142,housing,436443,2020-10-19,active
LOAN000150,CUST000144,housing,209009,2019-04-20,active
LOAN000151,CUST000145,housing,379564,2018-06-11,active
LOAN000152,CUST000146,housing,123395,2016-09-01,active
LOAN000153,CUST000147,housing,194301,2017-02-06,active
LOAN000154,CUST000148,housing,121238,2017-03-13,active
LOAN000155,CUST000149,housing,368078,2019-12-26,active
LOAN000156,CUST000150,housing,99770,2019-04-04,active
LOAN000157,CUST000151,housing,145203,2017-01-05,active
LOAN000158,CUST000152,housing,249918,2016-11-17,active
LOAN000159,CUST000153,housing,297403,2017-03-20,active
LOAN000160,CUST000154,housing,443982,2016-07-31,active
LOAN000161,CUST000156,housing,489753,2019-03-01,active
LOAN000162,CUST000157,housing,485403,2018-06-01,active
LOAN000163,CUST000158,housing,85321,2018-03-21,active
LOAN000164,CUST000159,housing,132603,2018-09-02,active
LOAN000165,CUST000160,housing,144233,2017-02-21,active
LOAN000166,CUST000161,housing,210282,2019-01-26,active
LOAN000167,CUST000162,housing,161777,2017-08-02,active
LOAN000168,CUST000163,housing,95571,2018-10-30,active
LOAN000169,CUST000164,housing,156415,2019-02-26,active
LOAN000170,CUST000165,housing,309220,2017-04-02,active
LOAN000171,CUST000166,housing,84602,2018-04-15,active
LOAN000172,CUST000167,housing,359472,2019-12-18,active
LOAN000173,CUST000168,housing,376055,2020-12-31,active
LOAN000174,CUST000171,housing,466754,2020-10-23,active
LOAN000175,CUST000172,housing,204969,2016-08-12,active
LOAN000176,CUST000172,personal,12987,2017-08-17,active
LOAN000177,CUST000173,housing,148286,2017-07-31,active
LOAN000178,CUST000175,housing,238363,2017-03-16,active
LOAN000179,CUST000176,housing,103296,2018-10-05,active
LOAN000180,CUST000177,housing,182382,2017-03-12,active
LOAN000181,CUST000178,housing,350946,2020-01-29,active
LOAN000182,CUST000179,housing,317029,2016-05-11,active
LOAN000183,CUST000180,housing,411063,2019-10-28,active
LOAN000184,CUST000181,housing,265668,2016-07-22,active
LOAN000185,CUST000182,housing,395993,2019-06-28,active
LOAN000186,CUST000183,housing,455590,2019-08-01,active
LOAN000187,CUST000184,housing,145051,2019-03-05,active
LOAN000188,CUST000185,housing,71856,2017-01-02,active
LOAN000189,CUST000186,housing,306782,2018-09-30,active
LOAN000190,CUST000187,housing,447546,2017-03-08,active
LOAN000191,CUST000189,housing,273427,2016-04-06,active
LOAN000192,CUST000189,personal,49013,2021-01-08,active
LOAN000193,CUST000190,housing,380275,2020-04-03,active
LOAN000194,CUST000191,housing,285840,2016-08-19,active
LOAN000195,CUST000192,housing,56288,2017-01-17,active
LOAN000196,CUST000193,housing,369620,2017-06-30,active
LOAN000197,CUST000194,housing,309685,2018-03-27,active
LOAN000198,CUST000195,housing,469472,2020-12-09,active
LOAN000199,CUST000196,housing,262604,2017-10-21,active
LOAN000200,CUST000197,housing,427627,2019-08-29,active
LOAN000201,CUST000198,personal,17001,2021-02-28,active
LOAN000202,CUST000199,housing,185607,2017-10-13,active
LOAN000203,CUST000200,housing,304501,2017-01-31,active
LOAN000204,CUST000201,housing,443005,2020-03-21,active
LOAN000205,CUST000202,housing,138175,2019-04-06,active
LOAN000206,CUST000203,housing,459175,2017-09-28,active
LOAN000207,CUST000204,housing,315082,2018-02-14,active
LOAN000208,CUST000205,housing,195021,2019-09-01,active
LOAN000209,CUST000206,housing,411440,2018-06-18,active
LOAN000210,CUST000207,housing,151871,2019-05-01,active
LOAN000211,CUST000207,personal,40604,2017-02-06,active
LOAN000212,CUST000208,housing,452072,2016-10-31,active
LOAN000213,CUST000209,housing,129221,2016-06-25,active
LOAN000214,CUST000210,housing,303148,2018-09-08,active
LOAN000215,CUST000211,housing,126937,2020-07-11,active
LOAN000216,CUST000212,housing,403435,2020-12-28,active
LOAN000217,CUST000214,housing,428699,2018-05-06,active
LOAN000218,CUST000215,housing,160678,2016-02-28,active
LOAN000219,CUST000216,housing,432745,2017-09-15,active
LOAN000220,CUST000220,housing,65657,2017-10-21,active
LOAN000221,CUST000220,personal,19557,2020-08-02,active
LOAN000222,CUST000221,housing,164138,2018-05-25,active
LOAN000223,CUST000222,housing,151150,2020-07-27,active
LOAN000224,CUST000223,housing,227425,2017-11-19,active
LOAN000225,CUST000224,personal,43571,2021-11-12,active
LOAN000226,CUST000225,housing,211723,2017-03-18,active
LOAN000227,CUST000226,housing,374311,2017-07-08,active
LOAN000228,CUST000227,housing,218426,2017-08-05,active
LOAN000229,CUST000228,housing,296691,2016-10-20,active
LOAN000230,CUST000230,housing,114555,2016-09-30,active
LOAN000231,CUST000231,housing,449026,2016-04-26,active
LOAN000232,CUST000232,housing,403590,2016-10-23,active
LOAN000233,CUST000233,housing,195973,2019-07-30,active
LOAN000234,CUST000235,housing,364479,2018-12-08,active
LOAN000235,CUST000236,housing,494074,2020-12-01,active
LOAN000236,CUST000237,housing,333181,2020-01-19,active
LOAN000237,CUST000238,housing,197383,2018-08-19,active
LOAN000238,CUST000239,housing,352347,2017-04-12,active
LOAN000239,CUST000240,housing,163286,2020-09-09,active
LOAN000240,CUST000240,personal,9944,2018-08-29,active
LOAN000241,CUST000241,housing,114009,2017-08-27,active
LOAN000242,CUST000241,personal,28492,2022-02-02,active
LOAN000243,CUST000242,housing,108612,2020-09-08,active
LOAN000244,CUST000244,housing,202928,2020-11-16,active
LOAN000245,CUST000245,housing,367656,2018-08-24,active
LOAN000246,CUST000247,housing,262218,2017-03-23,active
LOAN000247,CUST000248,housing,396748,2020-07-21,active
LOAN000248,CUST000249,housing,207995,2016-06-20,active
LOAN000249,CUST000250,housing,351155,2017-02-03,active
LOAN000250,CUST000251,housing,358038,2018-11-15,active
LOAN000251,CUST000252,housing,328623,2016-10-16,active
LOAN000252,CUST000252,personal,28678,2017-11-14,active
LOAN000253,CUST000253,housing,290135,2016-07-24,active
LOAN000254,CUST000254,housing,118475,2018-03-19,active
LOAN000255,CUST000255,housing,231240,2020-10-30,active
LOAN000256,CUST000256,housing,344747,2019-02-11,active
LOAN000257,CUST000257,housing,461116,2019-11-07,active
LOAN000258,CUST000258,housing,423978,2018-08-29,active
LOAN000259,CUST000259,housing,111709,2016-11-17,active
LOAN000260,CUST000259,personal,49910,2019-08-02,active
LOAN000261,CUST000260,housing,482522,2016-04-11,active
LOAN000262,CUST000261,housing,69480,2018-08-05,active
LOAN000263,CUST000262,housing,160374,2016-09-25,active
LOAN000264,CUST000263,housing,498907,2019-08-21,active
LOAN000265,CUST000264,housing,289106,2019-05-17,active
LOAN000266,CUST000265,housing,121596,2020-09-17,active
LOAN000267,CUST000266,housing,75958,2019-02-10,active
LOAN000268,CUST000267,housing,288861,2017-10-03,active
LOAN000269,CUST000268,housing,286889,2017-09-08,active
LOAN000270,CUST000269,housing,498334,2016-12-04,active
LOAN000271,CUST000269,personal,5408,2021-07-23,active
LOAN000272,CUST000270,housing,222074,2016-10-15,active
LOAN000273,CUST000271,housing,489868,2017-08-03,active
LOAN000274,CUST000271,personal,35238,2022-08-02,active
LOAN000275,CUST000272,housing,101159,2020-04-07,active
LOAN000276,CUST000273,housing,391657,2017-10-28,active
LOAN000277,CUST000275,housing,336947,2020-12-04,active
LOAN000278,CUST000276,housing,364495,2018-03-31,active
LOAN000279,CUST000277,housing,439263,2017-08-11,active
LOAN000280,CUST000279,housing,146270,2017-11-03,active
LOAN000281,CUST000281,housing,470920,2017-09-29,active
LOAN000282,CUST000282,housing,87929,2020-06-18,active
LOAN000283,CUST000282,personal,43223,2022-09-08,active
LOAN000284,CUST000284,housing,424972,2018-07-14,active
LOAN000285,CUST000285,housing,474768,2016-07-12,active
LOAN000286,CUST000286,housing,314167,2019-09-12,active
LOAN000287,CUST000287,housing,216929,2018-11-26,active
LOAN000288,CUST000288,housing,363837,2016-09-23,active
LOAN000289,CUST000289,housing,131184,2017-11-01,active
LOAN000290,CUST000290,housing,267784,2019-11-22,active
LOAN000291,CUST000291,housing,96445,2020-02-15,active
LOAN000292,CUST000292,housing,84058,2019-02-27,active
LOAN000293,CUST000293,housing,168970,2016-10-09,active
LOAN000294,CUST000295,housing,205065,2018-02-24,active
LOAN000295,CUST000296,housing,84327,2017-07-25,active
LOAN000296,CUST000297,housing,355591,2017-09-18,active
LOAN000297,CUST000298,housing,361715,2017-08-27,active
LOAN000298,CUST000299,housing,214985,2017-03-11,active
LOAN000299,CUST000300,housing,54259,2020-04-04,active
LOAN000300,CUST000301,housing,322369,2017-02-21,active
LOAN000301,CUST000302,housing,426638,2019-07-29,active
LOAN000302,CUST000303,housing,122538,2016-12-21,active
LOAN000303,CUST000304,housing,335547,2018-11-13,active
LOAN000304,CUST000305,housing,62084,2017-10-22,active
LOAN000305,CUST000306,housing,170733,2019-10-26,active
LOAN000306,CUST000307,housing,72254,2016-12-19,active
LOAN000307,CUST000308,housing,260318,2017-05-30,active
LOAN000308,CUST000309,housing,181782,2019-12-05,active
LOAN000309,CUST000309,personal,42766,2018-04-13,active
LOAN000310,CUST000310,housing,407381,2019-04-11,active
LOAN000311,CUST000311,housing,434826,2018-02-12,active
LOAN000312,CUST000312,housing,360011,2019-07-07,active
LOAN000313,CUST000313,housing,491563,2017-11-05,active
LOAN000314,CUST000313,personal,18202,2021-11-11,active
LOAN000315,CUST000314,housing,271886,2016-05-23,active
LOAN000316,CUST000314,personal,18207,2020-01-16,active
LOAN000317,CUST000316,housing,215984,2020-10-10,active
LOAN000318,CUST000317,housing,389275,2016-11-18,active
LOAN000319,CUST000317,personal,10278,2021-01-13,active
LOAN000320,CUST000318,housing,184563,2018-12-08,active
LOAN000321,CUST000320,housing,474797,2018-02-15,active
LOAN000322,CUST000321,housing,54634,2018-11-05,active
LOAN000323,CUST000322,housing,80505,2016-04-02,active
LOAN000324,CUST000323,housing,99383,2020-09-08,active
LOAN000325,CUST000325,housing,170892,2018-09-07,active
LOAN000326,CUST000327,housing,252697,2017-05-03,active
LOAN000327,CUST000328,housing,381110,2017-12-04,active
LOAN000328,CUST000329,housing,121548,2016-08-19,active
LOAN000329,CUST000330,housing,436704,2016-01-27,active
LOAN000330,CUST000332,housing,79385,2018-12-08,active
LOAN000331,CUST000333,housing,88596,2019-12-08,active
LOAN000332,CUST000334,housing,356549,2018-11-14,active
LOAN000333,CUST000335,housing,64800,2019-05-04,active
LOAN000334,CUST000336,housing,315434,2016-12-16,active
LOAN000335,CUST000337,housing,165249,2020-06-12,active
LOAN000336,CUST000338,housing,94927,2018-05-30,active
LOAN000337,CUST000338,personal,18114,2019-10-05,active
LOAN000338,CUST000340,housing,124365,2018-06-26,active
LOAN000339,CUST000341,housing,388945,2019-06-13,active
LOAN000340,CUST000342,housing,84912,2019-04-11,active
LOAN000341,CUST000343,housing,209015,2016-11-14,active
LOAN000342,CUST000344,housing,454626,2017-07-14,active
LOAN000343,CUST000345,housing,275528,2020-05-18,active
LOAN000344,CUST000347,housing,220190,2020-09-28,active
LOAN000345,CUST000348,housing,99010,2020-11-20,active
LOAN000346,CUST000349,housing,102909,2017-08-15,active
LOAN000347,CUST000350,housing,391596,2020-11-23,active
LOAN000348,CUST000351,housing,83319,2019-02-10,active
LOAN000349,CUST000352,housing,486416,2018-03-08,active
LOAN000350,CUST000353,housing,147453,2018-12-13,active
LOAN000351,CUST000354,housing,56294,2016-02-13,active
LOAN000352,CUST000356,housing,308792,2016-03-04,active
LOAN000353,CUST000357,housing,196262,2018-03-13,active
LOAN000354,CUST000358,housing,166996,2018-05-03,active
LOAN000355,CUST000359,housing,303351,2020-05-14,active
LOAN000356,CUST000360,housing,138026,2018-08-31,active
LOAN000357,CUST000361,housing,267292,2017-06-26,active
LOAN000358,CUST000362,housing,301239,2019-10-24,active
LOAN000359,CUST000363,housing,181541,2020-12-24,active
LOAN000360,CUST000364,housing,475872,2019-12-10,active
LOAN000361,CUST000364,personal,11627,2020-04-22,active
LOAN000362,CUST000365,housing,83495,2018-03-16,active
LOAN000363,CUST000366,housing,354949,2020-11-08,active
LOAN000364,CUST000367,housing,195582,2016-07-25,active
LOAN000365,CUST000368,housing,310715,2016-03-29,active
LOAN000366,CUST000369,housing,257566,2017-05-11,active
LOAN000367,CUST000370,housing,127184,2019-09-01,active
LOAN000368,CUST000371,housing,438217,2017-04-28,active
LOAN000369,CUST000372,housing,391540,2020-06-23,active
LOAN000370,CUST000372,personal,23952,2020-11-16,active
LOAN000371,CUST000374,housing,389232,2017-04-12,active
LOAN000372,CUST000375,housing,284715,2016-12-12,active
LOAN000373,CUST000376,housing,342913,2016-10-12,active
LOAN000374,CUST000378,housing,359727,2018-04-09,active
LOAN000375,CUST000379,housing,205338,2019-02-07,active
LOAN000376,CUST000380,housing,253916,2019-01-27,active
LOAN000377,CUST000381,housing,434398,2016-01-17,active
LOAN000378,CUST000382,housing,289412,2019-04-20,active
LOAN000379,CUST000382,personal,37356,2018-03-19,active
LOAN000380,CUST000385,housing,102985,2019-09-10,active
LOAN000381,CUST000386,housing,238063,2018-09-04,active
LOAN000382,CUST000386,personal,29985,2021-03-17,active
LOAN000383,CUST000387,housing,65453,2020-08-11,active
LOAN000384,CUST000388,housing,178341,2018-07-12,active
LOAN000385,CUST000389,housing,349284,2019-10-05,active
LOAN000386,CUST000389,personal,19086,2018-04-23,active
LOAN000387,CUST000390,housing,457525,2019-08-03,active
LOAN000388,CUST000391,housing,169219,2020-06-08,active
LOAN000389,CUST000392,housing,169479,2017-06-10,active
LOAN000390,CUST000393,housing,499781,2017-09-26,active
LOAN000391,CUST000394,housing,211406,2017-01-09,active
LOAN000392,CUST000395,housing,312174,2017-09-02,active
LOAN000393,CUST000396,housing,495161,2019-12-20,active
LOAN000394,CUST000396,personal,43577,2018-10-13,active
LOAN000395,CUST000397,housing,250957,2016-01-08,active
LOAN000396,CUST000399,personal,19220,2019-12-07,active
LOAN000397,CUST000400,housing,238213,2018-09-12,active
LOAN000398,CUST000401,housing,234286,2017-06-13,active
LOAN000399,CUST000402,housing,190253,2017-07-16,active
LOAN000400,CUST000402,personal,19230,2019-05-24,active
LOAN000401,CUST000403,housing,469921,2017-02-28,active
LOAN000402,CUST000404,housing,411268,2020-04-21,active
LOAN000403,CUST000408,housing,392419,2020-12-30,active
LOAN000404,CUST000409,housing,173155,2016-11-17,active
LOAN000405,CUST000410,housing,456742,2017-07-30,active
LOAN000406,CUST000411,housing,464036,2016-05-14,active
LOAN000407,CUST000412,housing,314297,2020-09-28,active
LOAN000408,CUST000413,housing,52037,2016-09-03,active
LOAN000409,CUST000414,housing,201278,2017-01-12,active
LOAN000410,CUST000415,housing,175641,2020-08-19,active
LOAN000411,CUST000416,housing,496893,2016-12-11,active
LOAN000412,CUST000418,housing,163267,2017-06-23,active
LOAN000413,CUST000419,housing,444100,2019-03-26,active
LOAN000414,CUST000419,personal,18953,2022-09-02,active
LOAN000415,CUST000420,housing,214718,2019-06-20,active
LOAN000416,CUST000421,housing,303002,2019-03-03,active
LOAN000417,CUST000422,housing,311175,2018-09-06,active
LOAN000418,CUST000423,housing,419212,2017-07-24,active
LOAN000419,CUST000424,housing,470963,2020-06-18,active
LOAN000420,CUST000425,housing,225733,2019-12-25,active
LOAN000421,CUST000426,housing,396756,2018-04-14,active
LOAN000422,CUST000427,housing,177845,2016-12-10,active
LOAN000423,CUST000428,housing,143255,2018-02-19,active
LOAN000424,CUST000429,housing,238650,2018-06-30,active
LOAN000425,CUST000430,housing,292657,2018-03-03,active
LOAN000426,CUST000431,housing,337470,2018-06-28,active
LOAN000427,CUST000432,housing,423071,2020-12-12,active
LOAN000428,CUST000433,housing,235523,2017-02-16,active
LOAN000429,CUST000434,housing,63215,2017-04-23,active
LOAN000430,CUST000435,housing,163877,2019-11-02,active
LOAN000431,CUST000436,housing,323506,2019-04-29,active
LOAN000432,CUST000438,housing,304813,2020-12-17,active
LOAN000433,CUST000440,housing,328061,2017-05-17,active
LOAN000434,CUST000441,housing,182872,2017-07-22,active
LOAN000435,CUST000442,housing,402240,2019-04-12,active
LOAN000436,CUST000443,housing,122200,2019-03-29,active
LOAN000437,CUST000444,housing,255795,2017-12-20,active
LOAN000438,CUST000445,housing,406634,2016-08-29,active
LOAN000439,CUST000446,housing,391146,2018-12-28,active
LOAN000440,CUST000447,housing,142414,2017-06-04,active
LOAN000441,CUST000448,housing,377065,2018-03-18,active
LOAN000442,CUST000449,housing,53007,2020-03-07,active
LOAN000443,CUST000450,housing,148431,2018-08-08,active
LOAN000444,CUST000451,housing,484847,2018-10-30,active
LOAN000445,CUST000453,housing,292314,2016-08-24,active
LOAN000446,CUST000454,housing,289231,2020-04-12,active
LOAN000447,CUST000454,personal,18154,2021-04-05,active
LOAN000448,CUST000455,housing,401066,2018-12-04,active
LOAN000449,CUST000455,personal,45047,2021-03-12,active
LOAN000450,CUST000456,housing,161512,2019-01-06,active
LOAN000451,CUST000456,personal,46262,2019-10-21,active
LOAN000452,CUST000457,housing,157632,2017-06-13,active
LOAN000453,CUST000457,personal,47677,2020-05-15,active
LOAN000454,CUST000458,housing,490815,2016-06-20,active
LOAN000455,CUST000460,housing,361513,2019-08-23,active
LOAN000456,CUST000462,housing,166547,2018-05-28,active
LOAN000457,CUST000463,housing,490874,2016-08-31,active
LOAN000458,CUST000464,housing,91370,2018-08-12,active
LOAN000459,CUST000465,housing,494151,2016-05-03,active
LOAN000460,CUST000466,personal,8143,2019-12-14,active
LOAN000461,CUST000467,housing,443591,2020-03-22,active
LOAN000462,CUST000468,housing,131056,2018-07-11,active
LOAN000463,CUST000469,housing,295817,2019-10-19,active
LOAN000464,CUST000470,housing,493744,2018-12-29,active
LOAN000465,CUST000471,housing,222672,2020-12-15,active
LOAN000466,CUST000472,housing,61708,2016-01-18,active
LOAN000467,CUST000473,housing,299897,2017-06-25,active
LOAN000468,CUST000474,housing,336313,2017-02-07,active
LOAN000469,CUST000476,housing,98985,2018-12-20,active
LOAN000470,CUST000477,housing,173943,2017-05-12,active
LOAN000471,CUST000478,housing,93939,2020-06-12,active
LOAN000472,CUST000479,housing,473043,2016-07-22,active
LOAN000473,CUST000480,housing,313410,2019-02-01,active
LOAN000474,CUST000481,housing,432782,2020-10-18,active
LOAN000475,CUST000482,housing,419709,2016-06-12,active
LOAN000476,CUST000483,housing,212375,2016-02-29,active
LOAN000477,CUST000483,personal,16664,2021-05-27,active
LOAN000478,CUST000485,housing,164247,2020-05-13,active
LOAN000479,CUST000487,housing,416245,2019-03-13,active
LOAN000480,CUST000487,personal,25350,2021-10-21,active
LOAN000481,CUST000488,housing,133752,2017-03-23,active
LOAN000482,CUST000488,personal,14254,2022-08-11,active
LOAN000483,CUST000489,housing,66186,2017-06-26,active
LOAN000484,CUST000490,housing,175529,2017-01-22,active
LOAN000485,CUST000491,housing,105331,2016-07-22,active
LOAN000486,CUST000492,housing,169575,2016-02-25,active
LOAN000487,CUST000493,housing,64607,2019-02-04,active
LOAN000488,CUST000495,housing,79371,2019-01-05,active
LOAN000489,CUST000496,housing,348736,2016-12-19,active
LOAN000490,CUST000497,housing,217174,2019-06-10,active
LOAN000491,CUST000498,housing,216334,2019-05-18,active
LOAN000492,CUST000499,housing,105103,2018-01-31,active
LOAN000493,CUST000500,housing,420589,2017-01-26,active
LOAN000494,CUST000501,housing,461730,2020-11-10,active
LOAN000495,CUST000501,personal,11812,2020-12-22,active
LOAN000496,CUST000503,housing,373070,2018-03-03,active
LOAN000497,CUST000503,personal,8235,2022-03-22,active
LOAN000498,CUST000504,housing,214769,2017-04-22,active
